customer_key,first_name,last_name,email,active,create_date,last_update,address,district,postal_code,phone,city,country
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,"2006-02-14 22:04:36","2006-02-15 04:57:20","360 Toulouse Parkway",England,54308,949312333307,Southend-on-Sea,"United Kingdom"
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","270 Toulon Boulevard",Kalmykia,81766,407752414682,Elista,"Russian Federation"
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","320 Brest Avenue",Kaduna,43331,747791594069,Kaduna,Nigeria
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1417 Lancaster Avenue","Northern Cape",72192,272572357893,Kimberley,"South Africa"
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1688 Okara Way","Nothwest Border Prov",21954,144453869132,Mardan,Pakistan
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","262 A Corua (La Corua) Parkway",Dhaka,34418,892775750063,Tangail,Bangladesh
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","28 Charlotte Amalie Street",Rabat-Sal-Zammour-Z,37551,161968374323,Salé,Morocco
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1780 Hino Boulevard",Liepaja,7716,902731229323,Liepaja,Latvia
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","96 Tafuna Way",Córdoba,99865,934730187245,Córdoba,Argentina
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","934 San Felipe de Puerto Plata Street",Sind,99780,196495945706,Shikarpur,Pakistan
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","18 Duisburg Boulevard",,58327,998009777982,"Città del Vaticano","Holy See (Vatican City State)"
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","217 Botshabelo Place","Southern Mindanao",49521,665356572025,Davao,Philippines
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1425 Shikarpur Manor",Bihar,65599,678220867005,"Munger (Monghyr)",India
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","786 Aurora Avenue",Yamaguchi,65750,18461860151,Shimonoseki,Japan
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1668 Anpolis Street",Taipei,50199,525255540978,Lungtan,Taiwan
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","33 Gorontalo Way","West Bengali",30348,745994947458,Kamarhati,India
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","176 Mandaluyong Place","Uttar Pradesh",65213,627705991774,Jhansi,India
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","127 Purnea (Purnia) Manor",Piemonte,79388,911872220378,Alessandria,Italy
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","61 Tama Street",Okayama,94065,708403338270,Kurashiki,Japan
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","391 Callao Drive",Midi-Pyrnes,34021,440512153169,Toulouse,France
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","334 Munger (Monghyr) Lane",Markazi,38145,481183273622,Arak,Iran
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1440 Fukuyama Loop",Henan,47929,912257250465,Nanyang,China
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","269 Cam Ranh Parkway",Chisinau,34689,489783829737,Chisinau,Moldova
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","306 Antofagasta Place","Esprito Santo",3989,378318851631,"Vila Velha",Brazil
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","671 Graz Street",Oriental,94399,680768868518,Nador,Morocco
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","42 Brindisi Place",Yerevan,16744,42384721397,Yerevan,Armenia
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1632 Bislig Avenue",Nonthaburi,61117,471675840679,"Pak Kret",Thailand
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1447 Imus Way",Tahiti,48942,539758313890,Faaa,"French Polynesia"
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1998 Halifax Drive",Lipetsk,76022,177727722820,Lipetsk,"Russian Federation"
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1718 Valencia Street",Antofagasta,37359,675292816413,Antofagasta,Chile
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","46 Pjatigorsk Lane","Moscow (City)",23616,262076994845,Moscow,"Russian Federation"
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","686 Garland Manor",Cear,52535,69493378813,"Juazeiro do Norte",Brazil
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","909 Garland Manor",Tatarstan,69367,705800322606,Niznekamsk,"Russian Federation"
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","725 Isesaki Place",Mekka,74428,876295323994,Jedda,"Saudi Arabia"
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","115 Hidalgo Parkway",Khartum,80168,307703950263,Omdurman,Sudan
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1135 Izumisano Parkway",California,48150,171822533480,Fontana,"United States"
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","939 Probolinggo Loop",Galicia,4166,680428310138,"A Coruña (La Coruña)",Spain
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","17 Kabul Boulevard",Chiba,38594,697760867968,Nagareyama,Japan
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1964 Allappuzha (Alleppey) Street",Yamaguchi,48980,920811325222,Iwakuni,Japan
55,DORIS,REED,DORIS.REED@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1697 Kowloon and New Kowloon Loop",Moskova,57807,499352017190,Balašiha,"Russian Federation"
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1668 Saint Louis Place",Tahiti,39072,347487831378,Papeete,"French Polynesia"
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","943 Tokat Street",Vaduz,45428,889318963672,Vaduz,Liechtenstein
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1114 Liepaja Street",Sarawak,69226,212869228936,Kuching,Malaysia
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1213 Ranchi Parkway",Karnataka,94352,800024380485,Mysore,India
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","81 Hodeida Way",Rajasthan,55561,250767749542,Jaipur,India
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","915 Ponce Place",Basel-Stadt,83980,1395251317,Basel,Switzerland
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1717 Guadalajara Lane",Missouri,85505,914090181665,"Saint Louis","United States"
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1214 Hanoi Way",Nebraska,67055,491001136577,Lincoln,"United States"
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,0,"2006-02-14 22:04:36","2006-02-15 04:57:20","1966 Amroha Avenue",Sichuan,70385,333489324603,Daxian,China
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","698 Otsu Street",Cayenne,71110,409983924481,Cayenne,"French Guiana"
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1150 Kimchon Manor","Skne ln",96109,663449333709,Malmö,Sweden
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1586 Guaruj Place",Hunan,5135,947233365992,Xi´angtan,China
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","57 Arlington Manor","Madhya Pradesh",48960,990214419142,Shivapuri,India
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1031 Daugavpils Parkway",Béchar,59025,107137400143,Béchar,Algeria
70,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1124 Buenaventura Drive",Mekka,6856,407733804223,al-Hawiya,"Saudi Arabia"
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","492 Cam Ranh Street","Eastern Visayas",50805,565018274456,Baybay,Philippines
72,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","89 Allappuzha (Alleppey) Manor","National Capital Reg",75444,255800440636,Taguig,Philippines
73,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1947 Poos de Caldas Boulevard",Chiayi,60951,427454485876,Chiayi,Taiwan
74,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1206 Dos Quebradas Place","São Paulo",20207,241832790687,"Rio Claro",Brazil
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1551 Rampur Lane",Changhwa,72394,251164340471,Changhwa,Taiwan
76,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","602 Paarl Street",Pavlodar,98889,896314772871,Pavlodar,Kazakstan
77,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1692 Ede Loop","São Paulo",9223,918711376618,Araçatuba,Brazil
78,LORI,WOOD,LORI.WOOD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","936 Salzburg Lane","Uttar Pradesh",96709,875756771675,"Rae Bareli",India
79,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","586 Tete Way",Kanagawa,1079,18581624103,Kamakura,Japan
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1888 Kabul Drive","Oyo & Osun",20936,701457319790,Ife,Nigeria
81,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","320 Baiyin Parkway",Mahajanga,37307,223664661973,Mahajanga,Madagascar
82,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","927 Baha Blanca Parkway",Krim,9495,821972242086,Simferopol,Ukraine
83,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","929 Tallahassee Loop",Gauteng,74671,800716535041,Springs,"South Africa"
84,SARA,PERRY,SARA.PERRY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","125 Citt del Vaticano Boulevard",Puebla,67912,48417642933,Atlixco,Mexico
85,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1557 Ktahya Boulevard",England,88002,720998247660,Bradford,"United Kingdom"
86,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","870 Ashqelon Loop",Songkhla,84931,135117278909,Songkhla,Thailand
87,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1740 Portoviejo Avenue",Sucre,29932,198123170793,Sincelejo,Colombia
88,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1942 Ciparay Parkway",Cheju,82624,978987363654,Cheju,"South Korea"
89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1926 El Alto Avenue","Buenos Aires",75543,846225459260,"La Plata",Argentina
90,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1952 Chatsworth Drive",Guangdong,25958,991562402283,Meixian,China
91,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1370 Le Mans Avenue","Brunei and Muara",52163,345679835036,"Bandar Seri Begawan",Brunei
92,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","984 Effon-Alaiye Avenue",Gois,17119,132986892228,Goiânia,Brazil
93,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","832 Nakhon Sawan Manor","Inner Mongolia",49021,275595571388,Zalantun,China
94,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","152 Kitwe Parkway",Caraga,53182,835433605312,Bislig,Philippines
95,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1697 Tanauan Lane",Punjab,22870,4764773857,Pathankot,India
96,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1308 Arecibo Way",Georgia,30695,6171054059,"Augusta-Richmond County","United States"
97,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1599 Plock Drive",Tete,71986,817248913162,Tete,Mozambique
98,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","669 Firozabad Loop","Abu Dhabi",92265,412903167998,al-Ayn,"United Arab Emirates"
99,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","588 Vila Velha Manor",Kyongsangbuk,51540,333339908719,Kimchon,"South Korea"
100,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1913 Kamakura Place",Lipetsk,97287,942570536750,Jelets,"Russian Federation"
101,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","733 Mandaluyong Place",Asir,77459,196568435814,Abha,"Saudi Arabia"
102,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","659 Vaduz Drive","Ha Darom",49708,709935135487,Ashdod,Israel
103,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1177 Jelets Way","Kwara & Kogi",3305,484292626944,Ilorin,Nigeria
104,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1386 Yangor Avenue",Provence-Alpes-Cte,80720,449216226468,Toulon,France
105,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","454 Nakhon Sawan Boulevard",Funafuti,76383,963887147572,Funafuti,Tuvalu
106,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1867 San Juan Bautista Tuxtepec Avenue",Ivanovo,78311,547003310357,Ivanovo,"Russian Federation"
107,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1532 Dzerzinsk Way","Buenos Aires",9599,330838016880,Merlo,Argentina
108,TRACY,COLE,TRACY.COLE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1002 Ahmadnagar Manor",Mxico,93026,371490777743,Huixquilucan,Mexico
109,EDNA,WEST,EDNA.WEST@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","682 Junan Way","North West",30418,622255216127,Klerksdorp,"South Africa"
110,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","804 Elista Drive",Hubei,61069,379804592943,Enshi,China
111,CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1378 Alvorada Avenue","Distrito Federal",75834,272234298332,Caracas,Venezuela
112,ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","793 Cam Ranh Avenue",California,87057,824370924746,Lancaster,"United States"
113,CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1079 Tel Aviv-Jaffa Boulevard",Sucre,10885,358178933857,Cumaná,Venezuela
114,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","442 Rae Bareli Place",Nordrhein-Westfalen,24321,886636413768,Duisburg,Germany
115,WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1107 Nakhon Sawan Avenue",Mxico,75149,867546627903,Nezahualcóyotl,Mexico
116,VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","544 Malm Parkway","Central Java",63502,386759646229,Pemalang,Indonesia
117,EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1967 Sincelejo Place",Gujarat,73644,577812616052,Gandhinagar,India
118,KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","333 Goinia Way",Texas,78625,909029256431,"Grand Prairie","United States"
119,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1987 Coacalco de Berriozbal Loop",al-Qalyubiya,96065,787654415858,"Shubra al-Khayma",Egypt
120,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","241 Mosul Lane",Risaralda,76157,765345144779,"Dos Quebradas",Colombia
121,JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","211 Chiayi Drive","Uttar Pradesh",58186,665993880048,Etawah,India
122,THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1175 Tanauan Way",Lima,64615,937222955822,Lima,Peru
123,SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","117 Boa Vista Way","Uttar Pradesh",6804,677976133614,"Varanasi (Benares)",India
124,SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,0,"2006-02-14 22:04:36","2006-02-15 04:57:20","848 Tafuna Manor",Kütahya,45142,614935229095,Kütahya,Turkey
125,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","569 Baicheng Lane",Gauteng,60304,490211944645,Boksburg,"South Africa"
126,ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1666 Qomsheh Drive","São Paulo",66255,582835362905,Poá,Brazil
127,ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","801 Hagonoy Drive",Smolensk,8439,237426099212,Smolensk,"Russian Federation"
128,MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1050 Garden Grove Avenue",Slaskie,4999,973047364353,Jastrzebie-Zdrój,Poland
129,CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1854 Tieli Street",Shandong,15819,509492324775,Liaocheng,China
130,CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","758 Junan Lane",Gois,82639,935448624185,"Águas Lindas de Goiás",Brazil
131,MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1752 So Leopoldo Parkway",Taka-Karpatia,14014,252265130067,Mukatševe,Ukraine
132,ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","898 Belm Manor","Free State",49757,707169393853,Botshabelo,"South Africa"
133,PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","261 Saint Louis Way","Coahuila de Zaragoza",83401,321944036800,Torreón,Mexico
134,EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","765 Southampton Drive",al-Qalyubiya,4285,23712411567,Qalyub,Egypt
135,JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","943 Johannesburg Avenue",Maharashtra,5892,90921003005,Pune,India
